time,GLD,GLD,GLD,GLD,GLD,SLV,SLV,SLV,SLV,SLV,SPY,SPY,SPY,SPY,SPY,UUP,UUP,UUP,UUP,UUP
2015-11-09 00:00:00-05:00,104.29,104.58,104.19,104.42,2952497,13.97,13.975,13.78,13.885,5751448,209.31,209.49,206.95,208.06,96626934,25.86,25.86,25.74,25.785,2030949
2015-11-10 00:00:00-05:00,104.09,104.65,103.87,104.16,3251645,13.69,13.7999,13.65,13.76,5680122,207.5,208.6,207.19,208.51,60954178,25.89,25.91,25.82,25.85,1333733
2015-11-11 00:00:00-05:00,104.09,104.23,103.78,103.81,2816992,13.71,13.73,13.61,13.63,3910529,208.88,208.94,207.66,207.71,58689076,25.79,25.82,25.74,25.765,12410638
2015-11-12 00:00:00-05:00,103.09,104.32,103.04,103.8311,4859175,13.59,13.83,13.54,13.64,6177732,206.5,207.06,204.82,204.89,95298675,25.8,25.81,25.63,25.67,5146429
2015-11-13 00:00:00-05:00,103.54,103.74,103.45,103.58,2717184,13.57,13.6,13.53,13.58,3637677,204.35,204.67,202.435,202.54,120335951,25.77,25.8364,25.76,25.77,1019210
2015-11-16 00:00:00-05:00,103.98,104.03,103.515,103.69,2547625,13.62,13.63,13.55,13.61,2981506,202.32,205.64,202.18,205.6,90591238,25.83,25.9,25.82,25.89,2130644
2015-11-17 00:00:00-05:00,103.38,103.3999,101.98,102.37,7062130,13.63,13.63,13.47,13.55,5386045,205.99,207.04,204.88,205.38,100515112,25.93,25.98,25.89,25.93,3005226
2015-11-18 00:00:00-05:00,102.39,102.95,102.04,102.42,3966249,13.49,13.57,13.39,13.51,4256892,206.04,208.9,205.99,208.71,94448031,25.93,25.995,25.89,25.94,2989024
2015-11-19 00:00:00-05:00,103.07,104.09,103.07,103.57,4168636,13.61,13.75,13.59,13.61,4124940,208.59,209.05,208.2,208.53,61897641,25.77,25.82,25.7,25.77,1498130
2015-11-20 00:00:00-05:00,103.58,103.66,102.97,103.11,3199046,13.59,13.6,13.4328,13.49,4438516,209.45,210.12,208.86,209.35,67021762,25.8,25.93,25.79,25.93,1390523
2015-11-23 00:00:00-05:00,102.48,102.75,102.16,102.25,3624978,13.41,13.545,13.4,13.45,4112364,209.38,209.98,208.52,209.06,54738608,25.97,26.02,25.9,25.97,1491670
2015-11-24 00:00:00-05:00,103.12,103.25,102.69,102.96,2889738,13.56,13.65,13.5,13.515,4248117,207.87,209.83,207.41,209.38,81748691,25.94,25.97,25.89,25.91,1226971
2015-11-25 00:00:00-05:00,102.47,102.69,102.21,102.48,2364143,13.44,13.56,13.4,13.53,4537951,209.5,209.74,209.01,209.32,42760518,26.01,26.07,25.93,25.975,829346
2015-11-27 00:00:00-05:00,101.01,101.62,100.99,101.26,3588024,13.37,13.51,13.36,13.46,3288618,209.43,209.8,208.86,209.53,27557063,26.07,26.07,26.01,26.02,1707294
2015-11-30 00:00:00-05:00,101.53,102.38,101.52,101.93,4682335,13.45,13.5,13.4,13.435,4404397,209.75,209.89,208.56,208.67,78967202,26.08,26.1,26.05,26.06,1854312
2015-12-01 00:00:00-05:00,102.3,102.43,101.81,102.29,3794958,13.52,13.53,13.43,13.515,3789456,209.44,210.82,209.11,210.74,80426519,26.0,26.02,25.94,25.97,996730
2015-12-02 00:00:00-05:00,101.35,101.35,100.53,100.71,8608667,13.44,13.4498,13.28,13.37,5732931,210.61,211.0,208.23,208.5,88408000,26.07,26.1401,25.99,26.0,1732827
2015-12-03 00:00:00-05:00,101.23,101.97,100.845,101.77,5388825,13.43,13.51,13.325,13.47,5434873,208.83,209.15,204.7511,205.6,125709867,25.71,25.73,25.38,25.42,5481841
2015-12-04 00:00:00-05:00,102.74,104.21,102.65,104.02,8998983,13.66,13.94,13.63,13.875,11600551,206.08,209.97,205.93,209.63,138261490,25.52,25.65,25.44,25.58,1707643
2015-12-07 00:00:00-05:00,103.32,103.37,102.5,102.67,3895313,13.79,13.81,13.58,13.615,5180911,209.22,209.25,207.2,208.29,80571904,25.7,25.71,25.62,25.65,931424
2015-12-08 00:00:00-05:00,103.13,103.26,102.53,102.84,2749223,13.61,13.63,13.455,13.5,3197964,206.48,208.04,205.78,206.96,85182207,25.59,25.63,25.57,25.59,1386310
2015-12-09 00:00:00-05:00,103.63,103.6555,102.32,102.63,5695979,13.64,13.6601,13.475,13.48,3186033,206.19,208.68,204.18,205.36,130361762,25.42,25.44,25.27,25.31,2661509
2015-12-10 00:00:00-05:00,102.51,102.825,102.34,102.54,3369190,13.46,13.52,13.44,13.45,2439042,205.44,207.43,205.14,205.82,87012644,25.4,25.47,25.385,25.44,2826055
2015-12-11 00:00:00-05:00,101.92,103.32,101.85,103.1,5629306,13.16,13.33,13.16,13.3,5121454,203.36,204.14,201.51,201.85,153723143,25.37,25.4199,25.29,25.35,814508
2015-12-14 00:00:00-05:00,102.67,102.72,101.74,101.79,4636887,13.18,13.19,13.05,13.06,4893745,202.07,203.05,199.95,202.99,147606862,25.35,25.3983,25.2744,25.39,1284326
2015-12-15 00:00:00-05:00,101.71,102.06,101.41,101.52,4484009,13.11,13.185,13.06,13.11,3755343,204.7,206.11,202.8666,205.09,113374768,25.41,25.55,25.41,25.53,1045765
2015-12-16 00:00:00-05:00,102.59,103.2,101.66,102.72,6785576,13.45,13.64,13.33,13.48,10264674,206.365,208.39,204.8,207.98,145603746,25.51,25.61,25.36,25.55,2275680
2015-12-17 00:00:00-05:00,100.92,100.99,100.2326,100.51,8305087,13.19,13.2,13.04,13.075,7392673,208.4,208.48,204.84,204.89,123942014,25.72,25.81,25.681,25.78,2392633
2015-12-18 00:00:00-05:00,101.35,102.53,101.3,102.02,6996517,13.25,13.55,13.24,13.425,7584972,202.75,202.93,199.96,199.96,172379995,25.76,25.76,25.621,25.64,1580861
2015-12-21 00:00:00-05:00,102.95,103.52,102.83,103.16,4773318,13.59,13.67,13.54,13.59,5805260,201.43,201.88,200.09,201.65,80958257,25.61,25.6199,25.53,25.54,1201704
2015-12-22 00:00:00-05:00,103.09,103.2,102.5599,102.6,3307823,13.65,13.67,13.58,13.6,4858770,202.72,203.85,201.55,203.51,84529093,25.48,25.525,25.45,25.5,1619346
2015-12-23 00:00:00-05:00,102.4,102.59,102.21,102.33,2143747,13.59,13.68,13.54,13.63,2965267,204.71,206.07,204.58,206.02,79877884,25.55,25.63,25.53,25.54,1870637
2015-12-24 00:00:00-05:00,102.82,103.03,102.77,103.01,1579805,13.67,13.72,13.6601,13.695,3159117,205.72,206.33,205.42,205.57,31975061,25.45,25.48,25.43,25.46,627446
2015-12-28 00:00:00-05:00,102.48,102.5962,102.03,102.26,2923572,13.38,13.4,13.22,13.28,4769821,204.86,205.26,203.94,205.19,50363129,25.44,25.46,25.42,25.45,1135737
2015-12-29 00:00:00-05:00,102.52,102.58,102.11,102.16,2563638,13.37,13.39,13.26,13.27,3383294,206.51,207.79,206.47,207.43,63699688,25.53,25.58,25.49,25.51,1005249
2015-12-30 00:00:00-05:00,101.47,101.6,101.345,101.43,2840080,13.2,13.22,13.16,13.205,2706457,207.11,207.21,205.76,205.94,45511770,25.52,25.58,25.52,25.52,641521
2015-12-31 00:00:00-05:00,101.48,101.72,101.31,101.45,2934400,13.2,13.25,13.16,13.18,3293794,205.13,205.89,203.87,203.93,78736949,25.59,25.665,25.575,25.65,1464059
2016-01-04 00:00:00-05:00,103.13,103.67,102.485,102.87,5226833,13.47,13.52,13.19,13.2,4243135,200.5,201.03,198.59,200.99,151908002,25.65,25.79,25.63,25.71,1075263
2016-01-05 00:00:00-05:00,103.13,103.46,102.93,103.18,2968407,13.31,13.365,13.25,13.315,3237056,201.4,201.9,200.05,201.43,90242524,25.82,25.9,25.81,25.84,1484653
2016-01-06 00:00:00-05:00,104.39,104.8,103.93,104.66,8212823,13.37,13.48,13.26,13.36,3078159,198.34,200.06,197.6,198.79,118917648,25.86,25.87,25.75,25.77,985834
