,GLD,GLD,GLD,GLD,GLD,QQQ,QQQ,QQQ,QQQ,QQQ,SPY,SPY,SPY,SPY,SPY,USO,USO,USO,USO,USO,UUP,UUP,UUP,UUP,UUP
2015-11-09 00:00:00-05:00,104.29,104.58,104.19,104.42,2952497,111.31,111.45,109.85,110.55,26242607,209.31,209.49,206.95,208.06,96626934,14.1,14.23,13.95,14.07,20241453,25.86,25.86,25.74,25.785,2030949
2015-11-10 00:00:00-05:00,104.09,104.65,103.87,104.16,3251645,109.96,110.37,109.63,110.27,23772240,207.5,208.6,207.19,208.51,60954178,14.0,14.29,13.99,14.1,14326780,25.89,25.91,25.82,25.85,1333733
2015-11-11 00:00:00-05:00,104.09,104.23,103.78,103.81,2816992,110.6,111.13,109.98,110.13,20951896,208.88,208.94,207.66,207.71,58689076,14.06,14.0883,13.64,13.76,21989908,25.79,25.82,25.74,25.765,12410638
2015-11-12 00:00:00-05:00,103.09,104.32,103.04,103.8311,4859175,109.68,110.25,109.01,109.06,26313964,206.5,207.06,204.82,204.89,95298675,13.45,13.7,13.32,13.34,29996706,25.8,25.81,25.63,25.67,5146429
2015-11-13 00:00:00-05:00,103.54,103.74,103.45,103.58,2717184,108.59,108.71,106.85,106.92,44382788,204.35,204.67,202.435,202.54,120335951,13.2,13.23,12.91,13.06,33037957,25.77,25.8364,25.76,25.77,1019210
2015-11-16 00:00:00-05:00,103.98,104.03,103.515,103.69,2547625,106.82,108.51,106.6,108.46,29501734,202.32,205.64,202.18,205.6,90591238,13.0,13.43,12.81,13.4,35073578,25.83,25.9,25.82,25.89,2130644
2015-11-17 00:00:00-05:00,103.38,103.3999,101.98,102.37,7062130,108.66,109.32,108.27,108.52,28423615,205.99,207.04,204.88,205.38,100515112,13.17,13.22,12.94,13.0,21330028,25.93,25.98,25.89,25.93,3005226
2015-11-18 00:00:00-05:00,102.39,102.95,102.04,102.42,3966249,108.98,110.73,108.55,110.61,31641993,206.04,208.9,205.99,208.71,94448031,13.14,13.2,12.83,13.05,23281938,25.93,25.995,25.89,25.94,2989024
2015-11-19 00:00:00-05:00,103.07,104.09,103.07,103.57,4168636,110.69,111.22,110.5,110.69,22140810,208.59,209.05,208.2,208.53,61897641,12.92,13.03,12.86,12.97,19393932,25.77,25.82,25.7,25.77,1498130
2015-11-20 00:00:00-05:00,103.58,103.66,102.97,103.11,3199046,111.23,111.58,111.13,111.44,19597652,209.45,210.12,208.86,209.35,67021762,12.94,13.28,12.86,12.93,32167806,25.8,25.93,25.79,25.93,1390523
2015-11-23 00:00:00-05:00,102.48,102.75,102.16,102.25,3624978,111.49,111.89,110.65,111.11,19238947,209.38,209.98,208.52,209.06,54738608,12.84,13.235,12.82,13.02,24245184,25.97,26.02,25.9,25.97,1491670
2015-11-24 00:00:00-05:00,103.12,103.25,102.69,102.96,2889738,110.39,111.27,109.83,111.02,24564176,207.87,209.83,207.41,209.38,81748691,13.35,13.5,13.195,13.31,23954841,25.94,25.97,25.89,25.91,1226971
2015-11-25 00:00:00-05:00,102.47,102.69,102.21,102.48,2364143,111.17,111.34,110.9,111.11,13031957,209.5,209.74,209.01,209.32,42760518,13.11,13.42,12.96,13.38,17735064,26.01,26.07,25.93,25.975,829346
2015-11-27 00:00:00-05:00,101.01,101.62,100.99,101.26,3588024,111.35,111.49,110.89,111.27,7855684,209.43,209.8,208.86,209.53,27557063,13.09,13.11,13.0,13.02,9529482,26.07,26.07,26.01,26.02,1707294
